Metric_Code,Base Year,Value,Value type,Metric name
MLCON000011974,2004,1.20E+11,Absolute,Exports of goods and services - Constant
MLCON000011975,2004,1.56E+11,Absolute,Exports of goods and services - Constant
MLCON000011976,2004,1.46E+11,Absolute,Exports of goods and services - Constant
MLCON000011977,2004,1.26E+11,Absolute,Exports of goods and services - Constant
MLCON000011978,2004,1.07E+11,Absolute,Exports of goods and services - Constant
MLCON000011979,2004,96443944000,Absolute,Exports of goods and services - Constant
MLCON000015856,2004,1.65E+11,Absolute,Exports of goods and services - Constant
MLCON000015857,2004,1.89E+11,Absolute,Exports of goods and services - Constant
MLCON000015858,2004,1.82E+11,Absolute,Exports of goods and services - Constant
MLCON000015859,2004,1.94E+11,Absolute,Exports of goods and services - Constant
MLCON000015860,2004,1.58E+11,Absolute,Exports of goods and services - Constant
MLCON000015861,2004,1.17E+11,Absolute,Exports of goods and services - Constant
MLCON000015862,2004,1.45E+11,Absolute,Exports of goods and services - Constant
MLCON000015863,2004,1.28E+11,Absolute,Exports of goods and services - Constant
MLCON000015864,2004,1.06E+11,Absolute,Exports of goods and services - Constant
MLCON000015865,2004,95159303238,Absolute,Exports of goods and services - Constant
MLCON000015866,2004,81622126612,Absolute,Exports of goods and services - Constant
MLCON000000566,2005,3.39E+12,Absolute,Exports of goods and services - Constant
MLCON000000567,2005,3.23E+12,Absolute,Exports of goods and services - Constant
MLCON000000568,2005,3.15E+12,Absolute,Exports of goods and services - Constant
MLCON000000569,2005,3.21E+12,Absolute,Exports of goods and services - Constant
MLCON000000570,2005,3.23E+12,Absolute,Exports of goods and services - Constant
MLCON000000571,2005,3.03E+12,Absolute,Exports of goods and services - Constant
MLCON000000572,2005,2.88E+12,Absolute,Exports of goods and services - Constant
MLCON000000573,2005,2.77E+12,Absolute,Exports of goods and services - Constant
MLCON000000574,2005,2.68E+12,Absolute,Exports of goods and services - Constant
MLCON000000575,2005,2.49E+12,Absolute,Exports of goods and services - Constant
MLCON000000576,2005,2.38E+12,Absolute,Exports of goods and services - Constant
MLCON000000577,2005,2.68E+12,Absolute,Exports of goods and services - Constant
MLCON000000578,2005,2.76E+12,Absolute,Exports of goods and services - Constant
MLCON000000579,2005,2.41E+12,Absolute,Exports of goods and services - Constant
MLCON000000580,2005,2.33E+12,Absolute,Exports of goods and services - Constant
MLCON000001259,2005,8472471000,Absolute,Exports of goods and services - Constant
MLCON000001261,2005,8014217000,Absolute,Exports of goods and services - Constant
MLCON000001263,2005,8434734000,Absolute,Exports of goods and services - Constant
MLCON000001265,2005,8577499000,Absolute,Exports of goods and services - Constant
MLCON000001267,2005,8230807000,Absolute,Exports of goods and services - Constant
MLCON000001269,2005,8019790000,Absolute,Exports of goods and services - Constant
MLCON000001271,2005,8649194000,Absolute,Exports of goods and services - Constant
MLCON000001273,2005,8800987000,Absolute,Exports of goods and services - Constant
